"","A","B","C"
"1",0,0,0
"2",1,1,1
"3",0,1,0
"4",0,0,1
"5",1,1,1
"6",1,0,1
"7",1,1,1
"8",1,1,1
"9",1,1,1
"10",1,1,1
"11",1,1,1
"12",0,0,0
"13",1,0,1
"14",1,0,1
"15",1,1,1
"16",0,0,0
"17",1,0,1
"18",1,1,1
"19",1,0,0
"20",0,0,0
"21",0,0,0
"22",1,0,0
"23",1,0,1
"24",1,1,1
"25",1,1,1
"26",1,1,1
"27",1,1,1
"28",1,1,1
"29",1,1,0
"30",0,0,1
"31",0,0,0
"32",1,1,1
"33",1,1,1
"34",1,1,1
"35",1,1,1
"36",0,1,0
"37",1,1,1
"38",0,1,1
"39",1,1,1
"40",1,0,1
"41",0,1,0
"42",1,1,1
"43",0,0,0
"44",0,0,0
"45",1,0,0
"46",0,0,0
"47",0,0,0
"48",0,1,1
"49",1,0,0
"50",1,1,1
"51",1,1,1
"52",0,0,0
"53",1,1,1
"54",1,1,1
"55",1,1,1
"56",1,1,1
"57",0,0,0
"58",0,1,1
"59",1,1,1
"60",1,1,1
"61",0,0,0
"62",0,0,1
"63",0,0,0
"64",1,1,1
"65",1,1,1
"66",0,0,0
"67",1,1,1
"68",1,1,1
"69",1,1,0
"70",1,0,0
"71",0,0,0
"72",1,1,1
"73",0,0,0
"74",1,0,1
"75",0,1,0
"76",1,1,1
"77",1,1,1
"78",1,1,1
"79",0,0,0
"80",0,1,0
"81",0,0,0
"82",1,1,1
"83",1,0,0
"84",1,1,1
"85",0,0,0
"86",1,1,1
"87",0,0,0
"88",1,0,1
"89",1,1,1
"90",1,1,1
"91",1,1,1
"92",0,0,0
"93",1,1,1
"94",1,1,0
"95",1,1,1
"96",0,0,0
"97",1,1,1
"98",0,0,0
"99",0,0,0
"100",0,0,0
"101",1,1,1
"102",1,0,1
"103",1,1,1
"104",0,0,0
"105",1,1,1
"106",0,0,1
"107",1,1,1
"108",0,1,1
"109",1,1,1
"110",0,1,1
"111",1,1,1
"112",1,0,1
"113",0,0,0
"114",1,0,1
"115",0,1,1
"116",0,1,1
"117",0,0,0
"118",0,0,0
"119",1,1,1
"120",0,1,1
"121",1,1,1
"122",0,1,1
"123",0,0,0
"124",0,0,1
"125",0,0,0
"126",1,1,1
"127",0,0,0
"128",0,0,0
"129",1,1,1
"130",1,0,1
"131",1,1,1
"132",1,1,1
"133",0,1,1
"134",0,0,0
"135",1,1,1
"136",1,1,1
"137",1,1,1
"138",0,1,1
"139",0,0,0
"140",1,1,1
"141",0,0,0
"142",1,0,1
"143",1,1,1
"144",0,1,1
"145",1,1,1
"146",1,1,1
"147",0,1,1
"148",1,1,1
"149",1,1,1
"150",1,1,1
"151",1,1,0
"152",1,1,1
"153",1,1,1
"154",1,1,1
"155",0,0,0
"156",0,1,1
"157",0,1,1
"158",1,1,1
"159",1,1,1
"160",1,0,1
"161",1,1,1
"162",1,1,1
"163",1,1,1
"164",1,0,1
"165",0,0,1
"166",1,1,1
"167",0,0,0
"168",1,0,1
"169",0,1,1
"170",1,1,1
"171",1,1,1
"172",1,1,1
"173",1,0,0
"174",1,0,1
"175",1,1,1
"176",1,1,1
"177",1,1,1
"178",0,0,0
"179",0,1,0
"180",1,1,1
"181",1,1,1
"182",1,1,1
"183",1,0,1
"184",1,1,1
"185",0,1,1
"186",1,1,1
"187",1,1,1
"188",0,0,0
"189",1,1,1
"190",0,0,0
"191",1,1,1
"192",0,0,0
"193",0,1,1
"194",1,0,0
"195",1,1,1
"196",1,1,1
"197",1,0,0
"198",1,1,1
"199",0,1,1
"200",0,0,0
"201",1,0,1
"202",1,0,1
"203",0,1,0
"204",1,1,1
"205",1,1,1
"206",1,0,1
"207",0,0,0
"208",1,1,1
"209",1,1,1
"210",0,1,1
"211",0,0,0
"212",0,1,1
"213",1,1,1
"214",1,1,1
"215",0,0,0
"216",1,1,1
"217",1,1,1
"218",1,1,1
"219",1,0,1
"220",0,1,1
"221",1,1,1
"222",1,0,1
"223",1,1,1
"224",0,0,0
"225",0,0,0
"226",1,1,1
"227",0,0,0
"228",1,1,1
"229",1,1,1
"230",0,0,1
"231",1,1,1
"232",0,0,1
"233",0,0,0
"234",1,0,1
"235",1,0,0
"236",0,0,0
"237",1,0,0
"238",1,0,1
"239",1,0,0
"240",1,1,1
"241",0,1,0
"242",1,1,1
"243",1,1,1
"244",1,1,1
"245",1,1,1
"246",1,1,1
"247",0,0,1
"248",1,1,1
"249",1,1,1
"250",1,1,1
"251",1,1,1
"252",0,1,1
"253",1,1,1
"254",0,0,0
"255",1,0,1
